company_id,company_name,industry,size,revenue_bn,AI战略清晰度_current,AI战略清晰度_target,高管支持度_current,高管支持度_target,业务对齐度_current,业务对齐度_target,数据质量_current,数据质量_target,数据治理_current,数据治理_target,数据开放性_current,数据开放性_target,基础设施就绪度_current,基础设施就绪度_target,MLOps成熟度_current,MLOps成熟度_target,AI平台能力_current,AI平台能力_target,AI人才密度_current,AI人才密度_target,跨部门协作_current,跨部门协作_target,培训体系_current,培训体系_target,AI治理框架_current,AI治理框架_target,风险管控_current,风险管控_target,伦理合规_current,伦理合规_target,数据驱动文化_current,数据驱动文化_target,创新机制_current,创新机制_target,容错与试错_current,容错与试错_target
ENT-000,企业AA,医疗,小型(<1000人),33.89,2.8,3.4,3.0,4.6,3.3,3.8,2.5,3.3,2.8,3.9,2.0,2.9,2.6,3.5,2.2,3.9,1.7,2.5,4.5,5.0,3.8,4.4,4.4,5.0,2.6,4.1,2.3,3.5,2.7,3.3,3.1,4.6,3.0,4.3,2.1,2.9
ENT-001,企业AB,制造,中型(1000-10000人),8.77,2.6,3.7,3.0,4.0,2.5,3.4,2.3,4.0,2.0,2.5,2.5,4.2,3.7,5.0,3.2,3.9,3.1,4.9,2.5,3.1,1.6,3.2,1.6,3.1,3.2,3.9,3.1,4.4,3.1,4.8,4.1,5.0,4.5,5.0,4.4,5.0
ENT-002,企业AC,科技,大型(>10000人),72.76,5.0,5.0,4.4,5.0,5.0,5.0,3.4,5.0,3.7,4.7,3.8,5.0,4.1,4.6,4.1,4.8,4.2,5.0,5.0,5.0,4.9,5.0,5.0,5.0,3.8,4.7,4.2,5.0,3.4,4.1,4.3,4.8,4.7,5.0,3.6,4.9
ENT-003,企业AD,制造,小型(<1000人),2.34,2.7,4.3,3.0,4.5,1.9,3.2,2.1,2.7,3.0,3.5,2.7,4.0,2.6,3.4,2.8,4.7,3.8,4.5,2.3,4.2,2.3,3.8,2.6,4.3,4.5,5.0,3.6,4.6,3.8,4.8,3.2,5.0,3.3,3.9,3.6,4.3
ENT-004,企业AE,科技,中型(1000-10000人),23.77,1.0,2.2,1.4,2.2,1.3,1.8,1.1,2.1,1.5,2.5,1.5,2.8,3.0,3.9,3.1,4.3,3.0,4.9,1.0,2.5,1.2,2.0,1.0,2.2,2.7,3.3,2.6,3.5,2.6,4.4,1.3,2.7,1.7,2.6,1.9,3.1
ENT-005,企业AF,制造,中型(1000-10000人),10.86,2.0,3.4,2.3,3.9,1.9,3.4,2.4,3.3,2.1,3.9,2.1,4.0,4.1,5.0,3.1,4.8,3.0,4.8,1.2,1.8,1.6,2.8,1.8,3.1,2.0,2.5,2.3,3.6,2.5,4.2,2.1,2.7,2.6,3.9,2.4,3.9
ENT-006,企业AG,医疗,大型(>10000人),4.54,3.2,4.1,4.1,4.7,3.1,5.0,1.7,2.3,1.9,3.4,2.7,3.9,2.1,2.8,1.8,2.4,1.9,2.9,2.8,4.0,2.2,4.1,2.4,4.2,2.9,4.2,3.0,4.9,3.2,5.0,3.2,4.9,3.1,3.8,3.5,5.0
ENT-007,企业AH,零售,小型(<1000人),6.63,2.7,3.7,2.4,3.1,2.9,4.4,3.4,5.0,3.0,3.8,3.7,5.0,1.5,3.2,2.2,4.0,1.9,3.0,3.6,4.3,3.3,5.0,3.6,4.6,3.1,3.6,2.9,4.8,2.7,4.1,3.3,4.2,2.9,4.5,2.0,3.7
ENT-008,企业AI,金融,大型(>10000人),39.46,4.1,5.0,3.8,4.6,4.4,5.0,2.7,4.1,2.8,4.2,2.6,3.6,4.1,5.0,3.0,4.0,3.7,4.9,2.6,4.0,3.5,5.0,3.5,5.0,3.2,4.3,2.6,3.9,2.9,4.1,2.8,3.4,2.8,3.4,2.1,2.8
ENT-009,企业AJ,金融,中型(1000-10000人),3.43,5.0,5.0,5.0,5.0,5.0,5.0,4.1,5.0,4.3,5.0,4.7,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.9,5.0,4.4,5.0,4.0,5.0,4.0,5.0,4.6,5.0,4.7,5.0,4.7,5.0
