company_id,company_name,industry,size,战略与愿景_current,战略与愿景_target,战略与愿景_gap,数据基础_current,数据基础_target,数据基础_gap,技术能力_current,技术能力_target,技术能力_gap,人才与组织_current,人才与组织_target,人才与组织_gap,治理与伦理_current,治理与伦理_target,治理与伦理_gap,文化与创新_current,文化与创新_target,文化与创新_gap,overall_score,maturity_level
ENT-000,企业AA,医疗,小型(<1000人),3.03,3.93,0.9,2.43,3.37,0.93,2.17,3.3,1.13,4.23,4.8,0.57,2.53,3.63,1.1,2.73,3.93,1.2,2.84,L3 探索者
ENT-001,企业AB,制造,中型(1000-10000人),2.7,3.7,1.0,2.27,3.57,1.3,3.33,4.6,1.27,1.9,3.13,1.23,3.13,4.37,1.23,4.33,5.0,0.67,2.9,L3 探索者
ENT-002,企业AC,科技,大型(>10000人),4.8,5.0,0.2,3.63,4.9,1.27,4.13,4.8,0.67,4.97,5.0,0.03,3.8,4.6,0.8,4.2,4.9,0.7,4.25,L5 领先者
ENT-003,企业AD,制造,小型(<1000人),2.53,4.0,1.47,2.6,3.4,0.8,3.07,4.2,1.13,2.4,4.1,1.7,3.97,4.8,0.83,3.37,4.4,1.03,2.95,L3 探索者
ENT-004,企业AE,科技,中型(1000-10000人),1.23,2.07,0.83,1.37,2.47,1.1,3.03,4.37,1.33,1.07,2.23,1.17,2.63,3.73,1.1,1.63,2.8,1.17,1.78,L1 观望者
ENT-005,企业AF,制造,中型(1000-10000人),2.07,3.57,1.5,2.2,3.73,1.53,3.4,4.87,1.47,1.53,2.57,1.03,2.27,3.43,1.17,2.37,3.5,1.13,2.29,L2 起步者
ENT-006,企业AG,医疗,大型(>10000人),3.47,4.6,1.13,2.1,3.2,1.1,1.93,2.7,0.77,2.47,4.1,1.63,3.03,4.7,1.67,3.27,4.57,1.3,2.72,L3 探索者
ENT-007,企业AH,零售,小型(<1000人),2.67,3.73,1.07,3.37,4.6,1.23,1.87,3.4,1.53,3.5,4.63,1.13,2.9,4.17,1.27,2.73,4.13,1.4,2.86,L3 探索者
ENT-008,企业AI,金融,大型(>10000人),4.1,4.87,0.77,2.7,3.97,1.27,3.6,4.63,1.03,3.2,4.67,1.47,2.9,4.1,1.2,2.57,3.2,0.63,3.2,L4 加速者
ENT-009,企业AJ,金融,中型(1000-10000人),5.0,5.0,0.0,4.37,5.0,0.63,5.0,5.0,0.0,4.97,5.0,0.03,4.13,5.0,0.87,4.67,5.0,0.33,4.69,L5 领先者
ENT-010,企业AK,制造,中型(1000-10000人),1.23,2.0,0.77,1.6,3.23,1.63,1.9,3.47,1.57,2.07,3.27,1.2,1.13,2.83,1.7,2.17,3.47,1.3,1.66,L1 观望者
ENT-011,企业AL,零售,大型(>10000人),2.1,2.97,0.87,1.23,2.27,1.03,1.73,3.53,1.8,1.73,2.93,1.2,3.17,4.03,0.87,2.0,3.27,1.27,1.96,L2 起步者
ENT-012,企业AM,金融,中型(1000-10000人),2.13,3.37,1.23,4.53,5.0,0.47,3.17,4.27,1.1,2.87,4.1,1.23,4.37,5.0,0.63,3.13,4.37,1.23,3.36,L4 加速者
ENT-013,企业AN,科技,大型(>10000人),5.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,4.77,5.0,0.23,4.57,5.0,0.43,4.9,L5 领先者
ENT-014,企业AO,科技,大型(>10000人),2.63,4.17,1.53,4.4,5.0,0.6,3.9,4.97,1.07,4.6,5.0,0.4,4.0,5.0,1.0,2.9,4.03,1.13,3.72,L4 加速者
ENT-015,企业AP,制造,中型(1000-10000人),2.43,3.8,1.37,2.23,4.13,1.9,2.4,3.77,1.37,2.07,3.63,1.57,1.8,3.03,1.23,2.4,3.73,1.33,2.23,L2 起步者
ENT-016,企业AQ,金融,大型(>10000人),3.33,4.57,1.23,2.37,3.7,1.33,2.37,3.6,1.23,3.1,4.23,1.13,3.97,4.93,0.97,2.87,4.1,1.23,2.98,L3 探索者
ENT-017,企业AR,金融,大型(>10000人),1.17,2.37,1.2,1.23,2.47,1.23,3.03,4.43,1.4,1.37,2.47,1.1,1.83,2.97,1.13,1.0,2.2,1.2,1.56,L1 观望者
ENT-018,企业AS,能源,小型(<1000人),3.47,4.5,1.03,2.83,3.93,1.1,2.53,3.87,1.33,2.5,3.9,1.4,3.47,4.67,1.2,3.63,4.77,1.13,3.08,L3 探索者
